Unnamed: 0,ids,title,article
10,https://docs.searchunify.com/Content/Search-Clients/Analytics-Settings.htm,Analytics Settings,"Turn on Search Analytics Analytics Settings features more than 30 reports, neatly divided into three categories for Community Managers, Content Teams, and Support Teams. Checking a category matching your job profile is the fastest way to set up analytics. Those, who cannot relate to any category, can check out SearchUnify documentation on analytics to ascertain the reports they need. NOTE. You can cherry-pick reports from a category. It's possible to, let's say, check Community Managers and then remove a report or add a report. Activate Search Analytics Open a search client for editing and navigate to Analytics Settings. Check the reports to turn them on. You can select the reports à la carte. For illustration, the first two reports have been checked. Alternatively, you can check All or select one from Community Managers, Content Teams, and Support Teams if any of those categories defines your job profile. Scroll down and Save. Change Report Labels There are pros and cons to altering the default report labels. A big advantage is flexibility which enables you to attain internal consistency with the other platforms you use. If everyone around you calls a content source a ""data repository"" or a ""server"", then you can ease their transition to SearchUnify by renaming Search Index by Content Source to ""Search Index by Data Repository"" or ""Search Index by Server"". A downside of custom labels is the difficulty you might have searching the official docs, participating in the community, or communicating with the SearchUnify support team. But it can be overcome if you stick to using Report Names instead of Custom Names during your communication with SearchUnify. Now to the real work. To change a report's label: Click . Write a new name in the Custom Name column. For illustration, Search Summary has been renamed to ""Search Overview"". Then, click Save. Track Case Deflection with Analytics Properties When a user cannot find an answer from main search, they try to log a ticket. Most organizations have a separate page for accepting tickets. In the SearchUnify parlance, such pages are called Case Creation Pages. SearchUnify can track deflection on a Case Deflection Page, if the page has been set up. To set up a page: Navigate to Analytics Properties. Enter the Case Creation Page URL in Support Page URL. Then toggle Show Stage 2 Deflection (Case Form Page) to the right and Save your settings. NOTE. You can enter a regex pattern in the Support Page URL field if your organization hosts more than one Case Creation Page and case deflection on each of them needs to be tracked. Decide When Sessions Expire A default search session expires if a user stays idle for 60 minutes. The default value can be changed. Enter any value between 1 and 60 in the Session Timeout field. Map Session IDs with Emails Search activity is captured and stored in files called sessions. Each session has an ID. You can connect each ID with an email. Install the Email Tracking addon. The instructions are on Map User IDs with Emails Toggle Email Tracking Enabled to the right. Track Internal and External User Activity The exact definition of internal and external users varies from organization to organization. Generally speaking anyone with an email address ending in @yourcompany.com is an internal user and everyone else is an external user. The support reps handling tickets in Salesforce are internal users and the customers logging those tickets are external users. You can go over internal and external users' search data individuality: how employees use search and how customers use search. Toggle Internal / External Email Tracking Enabled and then enter the domain which will distinguish internal users from external users in Domain Name. For illustration searchunify.com is used. Emails of type john@searchunify or jane@searchunify.com are considered internal users. NOTE. Internal and external user activity can only be monitored on gated platforms. If your search client is on a website which is open to the entire world, then enabling this feature will have no impact whatsoever on the analytics data. Capture Direct Page Views in Session Journey NOTE. For Direct Page Views to work, a tracking script has to be interested in your platform. Please talk with your customer support representative before activating Direct Page Views. A user can get to an article in several ways; search is only one of them. Others include clicking on a bookmarked link, opening an article shared over email, or simply finding your way to an article from the trending list on home. You can measure Stage One and Cumulative Case Deflection from such Directly Viewed Articles as well. To set it, you will have to first activate Direct PageViews. To start, go to Search Clients > Edit > Analytics Settings > Analytics Properties, turn on Show Stage 2 (Case Form Page) Deflection and enter the Support Page URL in the field above. Turn on Add Direct Article View Journey and check Cumulative and Stage 1. Finally, define the URL of your articles. The definition includes <SF_community_address/article/{{URL Field}}. A quicker way to fill the field is to simply use ./article. To find the value for insertion, go to Search Clients > Edit > Content Sources > SF Content Source > Knowledge > Create HREF and drag URL Field to the blank box. Direct Article views influence only Stage 1 Case Deflection. There is no impact on Stage Two Case Deflection and the report behaves identically, irrespective of whether Direct Article views are turned on or not. Another change, when Direct PageView is turned on, is in the Stage One and Cumulative Deflection tabs. All sessions in which a user searched and clicked on a result or access a Direct View article and didn't visit support are considered Stage 1 Case Deflection with Direct PageViews. Only two scenarios are possible. Another difference between Stage One Case Deflection and Stage One Case Deflection with Direct PageViews is the denominator used in the equation used to calculate deflection. In the first, the denominator is Search Sessions but in the second the denominator is Total Sessions. Although the symbol used to represent them is the same, . In this diagram, Total Sessions is 31, Click Sessions with No Support Visit is 5, and Direct Article Views with No Support Visit is 1. Therefore, Direct PageViews impact Cumulative Case Deflection as well where all the deflections in Stage 1 with Direct Article Views and Stage 2 are summed and divided by the Total Sessions."
11,https://docs.searchunify.com/Content/Search-Clients/Customer-Journey.htm,View Salesforce Community Customer Journeys,"View Salesforce Community Customer Journeys Customer journeys on a Salesforce community can be viewed after inserting the SU Analytics On Page component on a case page. When you give a Profile edit-access to the Case Object, all the Profile's Assigned Users can view customer journeys. This article explains how you can give edit-access to the Case Object to a Profile and then walks you through the inserting the SU Analytics on Page component on a case page. Give a Profile Edit-Access to Case Object Go to Profiles from the Quick Find Box and open a profile. Scroll down to find Field-Level Security and View the Case field. Click Edit. Give SearchUnify Session ID edit access to profile that covers support reps and Save your settings. Your browser does not support the video tag. Now the profile's assigned users can view case journeys. Turn on Journey Component Open a case page and click > Edit Page. Look up ""visualforce"" from Components and drag it to the where the customer journey will be displayed. From the Visualforce Page Name dropdown, select SU Analytics on Case and click Save. Your browser does not support the video tag."
12,https://docs.searchunify.com/Content/Search-Clients/Edit.htm,Edit,"Edit Search Client Configurations Adding a search client to your instance is the first step. Next comes configuration. SearchUnify offers scores of configuration settings. You can view them all by clicking against any search client on the Manage Search Clients screen. Last updated: Wednesday, March 30, 2022 Was this article helpful? Send us your review at help-feedback@searchunify.com"
13,https://docs.searchunify.com/Content/Search-Clients/End-User-Feedback.htm,End-User Feedback,"End-User Feedback The best feedback can come from the people who use search clients to find information. End-User Feedback makes it simple for you to listen to them. Set it up on search and content pages where users can rate search experience and content quality. Activation Setting up is easy for the SU Admins and giving feedback is even easier for search users. You can implement a minimal feedback system where search users can thumb up or thumb down search results. Alternatively, you can implement a more wholesome feedback system where search users have an option to write detailed responses. End-User Feedback offers three tools to gather feedback from search users: Content and Search Experience. Implement it to gather feedback on search results and content. Search Experience. Implement it to gather feedback on search results. Search Experience after Conversion. Implement it to gather feedback on search results in Search Sessions with Click. Analytics You can implement one of these tools or all of them. The data gathered from the tools is saved in Content Experience Feedback and Search Experience Feedback"
14,https://docs.searchunify.com/Content/Search-Clients/Page-Rating.htm,Page Rating,"Skip To Main Content Account Settings Logout placeholder Account Settings Logout Filter: All Files Submit Search Gather User Feedback with Page Rating Page Rating is a widget that displays a feedback question and collects reader responses. It is usually added to help center articles, knowledge base pages, and Salesforce communities, where it produces the message Was This Article Helpful?. (The message is only displayed when certain conditions are fulfilled. See the next section for details.) The data on responses is collected through the Yes and No buttons and stored in a report also named Page Rating. You can view the report in Search Analytics. When Does Page Rating Asks for Feedback? Page Rating asks the feedback question when a user lands from a Source page to a Landing page. Regular expressions are used to define SOURCE and LANDING pages. NOTE. It is recommended to use search results pages as SOURCE. Define Source and Landing Log into SearchUnify, navigate to the menu bar on the left, and click Search Clients. Select a search client for editing and scroll right to the Page Rating window. Define Source in Enter Regex for Search Instance URL and give it a name in Enter Instance Name. Click Add. Define Landing in Enter Regex for URL and give it a name in Enter Name. Click Add and Save. You will return to the Manage Search Clients screen. Select a Platform for Using Page Rating Webpages Download the search client that you have just edited. Unzip the client. Open pageRating.html with a code editor and copy its script and div into your webpages. Salesforce Communities Download the search client you have just installed. Install it on Salesforce Communities. The instructions can be found in Install a Search Client in Salesforce Communities (Lightning) Open your community in the Builder mode. (From Setup, go to All Communities through Quick Find Box, and click Builder.) Open Article Detail page from . Drag SuRating to a section where you want to ask for feedback. Activate Page Rating On the Manage Search Clients screen, click of the search client that you downloaded in the previous section. Navigate to Analytics Settings and check Page Rating Feedback. Page Rating is now actively collecting and storing feedback from your help center, knowledge base, or the pages where the script and div were inserted."
15,https://docs.searchunify.com/Content/Search-Clients/Salesforce-Internal.htm,How to Install a Search Client for Salesforce Users (Internal)?,"Install a Search Client in Salesforce (Internal Users) Find information faster right inside Salesforce (Sales Cloud, Service Cloud, and others) with SearchUnify. This article first explains how the search client for Internal users handles permissions and then takes you through the steps of installing and setting up a SearchUnify client in Salesforce. Salesforce Default Permissions Search clients on your org adhere to default Salesforce positions, which means that a Guest User cannot see any cases on the search results page and a Partner can see all the cases concerning his or her Contacts. The table summarizes the default permissions followed on the Salesforce search client. Permissions Chart Object User Type User can see Cases Internal All the cases in an org. Partner All the cases that belong to the Partner's account. Guest User No cases are visible. Customer All the cases that belong to the Customer's contacts. Articles Internal All the articles in Knowledge. Partner All the Public articles and the articles visible to the Partner. Guest User All the Public articles. Customer All the Public articles and all the articles visible to the Customer. Group Feed Internal All feeds of all the groups. External All feeds of the groups of which the user is a member and all feeds from public groups. All All feeds of all the groups. Guest All feeds from public groups. User Feed Internal All feeds of all the users. External All feeds of all the users. Installation Overview Prerequisites Connection between the search client and at least one Salesforce content source Install the Search Client Visit Salesforce AppExchange, look up ""searchunify"", and open the top listing, SearchUnify - Cognitive Search & Insights for Salesforce. Click Get It Now. If prompted, log in with your Salesforce admin credentials. It's usually a good practice to install an app on Sandbox, instead of Production. Install the app for All Users. A warning might come up. Overlook it and proceed with installation. In the end an Installation Successful message will greet you. Configure Your Client Click Salesforce App Launcher and then View All. Find SearchUnify Configuration and click it open. Create a remote site using URL on the Search Configuration screen. How to Create Remote Sites in Salesforce? Check out this document. Select Internal from Choose Search Platform. A configurations page will appear. Enter the details and click Process. Enter Service Endpoint. It is your SearchUnify instance URL. Enter Provision Key. You can get it from your SearchUnify representative. Enter UID. It is your search client ID. Enter jwt token expiration time(time should be in minutes). Enter any integer. The suggested value is 120. Spot this message to confirm a successful configuration. From the app launch menu, go to SearchUnify Vf Internal. Click SearchUnifyInternal to launch the search client. Start searching."
16,https://docs.searchunify.com/Content/Search-Clients/Salesforce-Remote-Site-Creation.htm,How to Create Two Remote Sites?,"Create Remote Sites in Salesforce Remote Sites are used to manage data flows between your SearchUnify app and Salesforce org. This article takes you walks you through the process of creating them. Remote Site for SearchUnify Create this site if you are installing your first SearchUnify app in Salesforce. Else, move to Remote Site 2. Log into Salesforce. Go to Remote Site Settings from the quick find box in Setup. Click New Remote Site. Enter a name and description. The Remote Site URL is your Service Endpoint, which you can find in readme. Click Save and New. Remote Site for Data Transfer Enter a name and description for the second site. In Remote Site URL, enter the web address on the Installation Complete or Configuration page. Click Save. The Remote Site(s) have been successfully created."
17,https://docs.searchunify.com/Content/Search-Clients/Search-Clients.htm,Search Clients,"Search Clients A search client is a unified interface to explore multiple content sources simultaneously. It's the tool through which end users can find information stored in content sources. Instance admins can install a search client on a website, Salesforce org, Khoros community, or another supported platform. A search client is an interface that a user interacts with to retrieve information from a database. Search interfaces come in several forms. Some tend to be familiar, such as a web search box, desktop search menu, and application search window. Other search interfaces might be cryptic for someone who has not studied computer science. Common examples include, search from a terminal and Boolean search forms. Supported Platforms SearchUnify offers 17 search clients for 12 platforms. Some large platforms, such as Salesforce and Zendesk, have more than one search client. You can view all of them from Search Clients > Add New Search Client. The search clients are divided into different categories based on industry niches. By default, All is selected in the category section but you can select a particular category according to your requirement or directly search your desired search client using the search bar. The Popular category appears at the top, consisting of trending search clients. Select your desired search client. Installation Popular Install a Search Client in Higher Logic Install a Search Client in Khoros (Lithium) Install a Search Client in Salesforce Communities (Lightning) Install a Search Client in Salesforce Console Install a Search Client on Your Website Install a Search Client in Zendesk Support Content Management Systems Install a Search Client in Drupal (7 and 8) Install SearchUnify on Joomla Install a Search Client in MindTouch Install a Search Client in SharePoint Install a Search Client in WordPress Install a Search Client in Zendesk Guide Community Platforms Install a Search Client in Adobe Experience Manager (AEM) Install a Search Client in Higher Logic Install a Search Client in Khoros (Lithium) Install a Search Client in Salesforce Communities (Lightning) Install a Search Client in Salesforce Communities (Visualforce) CRM and Support Systems Install a Search Client in Microsoft Dynamics Install a Search Client in Salesforce Console Install a Search Client in ServiceNow Install a Search Client in Zendesk Support Install a Search Client in Zendesk Console Others Configure a Hosted Search Client Install a Search Client in Salesforce (Internal Users) Install a Search Client in Slack Install a Search Client on Your Website"
18,https://docs.searchunify.com/Content/Search-Clients/ServiceNow.htm,How to Install a Search Client in ServiceNow?,"Install a Search Client in ServiceNow This article walks you through the process of installing a SearchUnify search client in ServiceNow. Installation Overview Prerequisites Activated Customer Service plug-in in ServiceNow SearchUnify user scope set to either ""Search"" or ""All"" Create a Search Client in SearchUnify Navigate to Search Clients from the menu bar and click Add new search client. Give your search client a name and enter your ServiceNow instance web address in Base URL. Click Save. Note down the UID of the search client that you have just created. It will be used later. Create an App in SearchUnify From Apps in the main menu bar, click Create New App. Give your app a name. Enter your ServiceNow instance web address appended by api/x_312362_c_a_su/sugetcode in Redirect URL. EXAMPLE. https://dev42559.service-now.com will change to https://dev42559.service-now.com/api/x_312362_c_a_su/sugetcode. Set the scope to Search and press Save. Note down the Client ID and Client Secret of the app that you have just created. They will be used later. Install SearchUnify in ServiceNow Log into ServiceNow. Using Filter Navigator, find Plugins. Look up ""customer service"" in the search box. Check Customer Service to activate the plugin. Create a SearchUnify App Find Studio from the Filter Navigator and click it. Select Import from Source Control. Enter https://github.com/searchunify-git/su-service-console in URL. In User name and Password, enter the credentials that your SearchUnify representative has shared with you. Click Import. A app by the name of Customer Application SearchUnify will be created. Configure the SearchUnify App Look up ""SearchUnify Console"" in Filter Navigator. Click Configure. Enter Search Client UID, Client ID, Client Secret, and Instance URL and press Submit. (The Instant URL is the web address of your SearchUnify dashboard.) Press Log in with SearchUnify and then Allow. Open a case in ServiceNow. Click , navigate to Developer, and select Customer Service from the Application dropdown. From , click From Design in Configure. Drag Search Results Page in Formatters to the Short Description section. Save. You can reload the case details page to use search."
19,https://docs.searchunify.com/Content/Search-Clients/Set-Default-Preferences.htm,Set Default Preferences,"Set Default Preferences The content bar on top, facets on left, content tags, and result summaries are all configurable from Set Default Preferences. Using the features available in Set Default Preferences, an instance user can hide the content sources tab, reorder facets, tweak the summary text length, and even set the value that will appear in the content tag. All the features and their capabilities are listed next. Features and Their Use With Content Tabs, you can: Hide the Content Sources tab Display either content sources or content types (objects) Change the arrangement in which content sources or content types (objects) are presented Club two or more content sources or fields With Facets, you can: Change Facet ordering Set default Facet Value ordering in the Sources facet. Five options are available: Alphabetical (A–Z), Alphabetical (Z–A), Count (Ascending), Count (Descending), and Custom. That still allows a search user to change ordering only for themselves. With Summary, you can: Show complete summary or truncated summary with a Show More button Set the maximum and minimum length of summary Use content fields data as Lego bricks to assemble a summary With Content Tags, you can: Pick what to display in the tag: Content Source or Object Related To read about the each feature, check out the following articles: Display or Hide the Contents Bar Rearrange Facets on a Search Clients Configure Summary Fields Pick a Content Tag to Go with Results"
20,https://docs.searchunify.com/Content/SU-Community/Attach-a-File.htm,Attach-a-File,"Attach a File to a Case You can attach images, PDFs, videos, and several other kinds of files with your case to add details. This article walks you through the steps of attaching a file to a case. Note Files supported Images: PNG, GIF Docs: DOC, DOCX, PDF, TXT Data: CSV, XLSX Multimedia: Mp4, MOV Maximum size: 3MB for a file. If you are uploading more than one files, the cumulative size of all the files cannot exceed 20MB. Attach a File to a Case Click Upload your file. A dialog will appear. Find your file and double click it to upload. The file will be uploaded and attached with the case to submit."
